iter	Passed	Remaining
640	1542	863
641	1544	861
642	1546	858
643	1548	856
644	1551	853
645	1553	851
646	1555	848
647	1557	846
648	1559	843
649	1561	840
650	1563	838
651	1565	835
652	1568	833
653	1570	830
654	1572	828
655	1574	825
656	1576	823
657	1578	820
658	1580	818
659	1583	815
660	1585	813
661	1587	810
662	1589	807
663	1591	805
664	1593	802
665	1595	800
666	1597	797
667	1600	795
668	1602	792
669	1604	790
670	1606	787
671	1608	785
672	1610	782
673	1613	780
674	1615	777
675	1617	775
676	1619	772
677	1621	770
678	1623	767
679	1625	765
680	1627	762
681	1630	760
682	1632	757
683	1634	755
684	1636	752
685	1638	750
686	1641	747
687	1643	745
688	1645	742
689	1647	740
690	1649	737
691	1651	735
692	1653	732
693	1656	730
694	1658	727
695	1660	725
696	1662	722
697	1664	720
698	1666	717
699	1668	715
700	1671	712
701	1673	710
702	1675	707
703	1677	705
704	1680	703
705	1682	700
706	1684	698
707	1687	695
708	1689	693
709	1691	691
710	1694	688
711	1696	686
712	1699	683
713	1701	681
714	1704	679
715	1706	676
716	1708	674
717	1711	672
718	1713	669
719	1716	667
720	1718	665
721	1721	662
722	1723	660
723	1726	658
724	1728	655
725	1731	653
726	1733	650
727	1735	648
728	1737	645
729	1739	643
730	1741	641
731	1744	638
732	1746	636
733	1748	633
734	1751	631
735	1753	629
736	1756	626
737	1758	624
738	1761	622
739	1763	619
740	1766	617
741	1768	614
742	1770	612
743	1773	610
744	1775	607
745	1778	605
746	1780	603
747	1783	600
748	1785	598
749	1788	596
750	1790	593
751	1792	591
752	1795	588
753	1797	586
754	1799	584
755	1802	581
756	1804	579
757	1807	577
758	1810	574
759	1812	572
760	1814	569
761	1816	567
762	1819	565
763	1821	562
764	1823	560
765	1825	557
766	1827	555
767	1829	552
768	1831	550
769	1833	547
770	1835	545
771	1838	542
772	1840	540
773	1842	537
774	1844	535
775	1846	533
776	1848	530
777	1850	528
778	1852	525
779	1855	523
780	1857	520
781	1859	518
782	1861	515
783	1863	513
784	1866	511
785	1868	508
786	1870	506
787	1872	503
788	1874	501
789	1876	498
790	1878	496
791	1881	494
792	1883	491
793	1885	489
794	1888	486
795	1890	484
796	1892	481
797	1894	479
798	1896	477
799	1898	474
800	1901	472
801	1903	469
802	1905	467
803	1907	464
804	1909	462
805	1911	460
806	1913	457
807	1916	455
808	1918	452
809	1920	450
810	1922	448
811	1924	445
812	1926	443
813	1928	440
814	1931	438
815	1933	435
816	1935	433
817	1937	431
818	1939	428
819	1941	426
820	1943	423
821	1946	421
822	1948	418
823	1950	416
824	1952	414
825	1954	411
826	1956	409
827	1958	406
828	1960	404
829	1963	402
830	1965	399
831	1967	397
832	1969	394
833	1971	392
834	1973	390
835	1975	387
836	1978	385
837	1980	382
838	1982	380
839	1984	377
840	1986	375
841	1988	373
842	1991	370
843	1993	368
844	1995	366
845	1997	363
846	1999	361
847	2001	358
848	2004	356
849	2006	354
850	2008	351
851	2010	349
852	2012	346
853	2014	344
854	2016	342
855	2018	339
856	2021	337
857	2023	334
858	2026	332
859	2028	330
860	2030	327
861	2033	325
862	2035	323
863	2037	320
864	2039	318
865	2041	315
866	2044	313
867	2046	311
868	2048	308
869	2050	306
870	2052	304
871	2054	301
872	2057	299
873	2059	296
874	2061	294
875	2063	292
876	2066	289
877	2069	287
878	2072	285
879	2077	283
880	2079	280
881	2082	278
882	2104	278
883	2110	276
884	2115	274
885	2118	272
886	2121	270
887	2124	267
888	2127	265
889	2129	263
890	2132	260
891	2136	258
892	2139	256
893	2142	254
894	2145	251
895	2148	249
896	2151	247
897	2162	245
898	2165	243
899	2168	240
900	2171	238
901	2173	236
